Implementation Priority,tool,pillar,type,agent,task,priority,source,url
,PTC ThingWorx,ot_ics_physical_security,Commercial,ot_security_engineer,industrial_iot,High,comprehensive_csv,https://docs.ptc.com
,AVEVA Plant Information,ot_ics_physical_security,Commercial,ot_security_engineer,process_control,High,comprehensive_csv,https://docs.aveva.com
,Emerson DeltaV,ot_ics_physical_security,Commercial,ot_security_engineer,process_control,High,comprehensive_csv,https://docs.emerson.com
,Yokogawa CENTUM,ot_ics_physical_security,Commercial,ot_security_engineer,process_control,High,comprehensive_csv,https://docs.yokogawa.com
,Honeywell Experion,ot_ics_physical_security,Commercial,ot_security_engineer,process_control,High,comprehensive_csv,https://docs.honeywell.com
,Siemens SIMATIC,ot_ics_physical_security,Commercial,ot_security_engineer,plc_programming,High,comprehensive_csv,https://docs.siemens.com
,Schneider Electric Unity Pro,ot_ics_physical_security,Commercial,ot_security_engineer,plc_programming,High,comprehensive_csv,https://docs.se.com
,Rockwell Studio 5000,ot_ics_physical_security,Commercial,ot_security_engineer,plc_programming,High,comprehensive_csv,https://docs.rockwellautomation.com
,ABB Automation Builder,ot_ics_physical_security,Commercial,ot_security_engineer,plc_programming,High,comprehensive_csv,https://docs.abb.com
,Mitsubishi GX Works,ot_ics_physical_security,Commercial,ot_security_engineer,plc_programming,Medium,comprehensive_csv,https://docs.mitsubishielectric.com
,Omron CX-One,ot_ics_physical_security,Commercial,ot_security_engineer,plc_programming,Medium,comprehensive_csv,https://docs.omron.com
,Beckhoff TwinCAT,ot_ics_physical_security,Commercial,ot_security_engineer,plc_programming,Medium,comprehensive_csv,https://docs.beckhoff.com
,Codesys,ot_ics_physical_security,Open Source,ot_security_engineer,plc_programming,Medium,comprehensive_csv,https://github.com/codesys
,OpenPLC,ot_ics_physical_security,Open Source,ot_security_engineer,plc_programming,Medium,comprehensive_csv,https://github.com/thiagoralves/OpenPLC_v3
,ScadaBR,ot_ics_physical_security,Open Source,ot_security_engineer,scada_system,Medium,comprehensive_csv,https://github.com/ScadaBR/ScadaBR
,OpenSCADA,ot_ics_physical_security,Open Source,ot_security_engineer,scada_system,Medium,comprehensive_csv,https://github.com/OpenSCADA
,FreeSCADA,ot_ics_physical_security,Open Source,ot_security_engineer,scada_system,Low,comprehensive_csv,https://github.com/freescada
,Ignition SCADA,ot_ics_physical_security,Commercial,ot_security_engineer,scada_system,High,comprehensive_csv,https://docs.inductiveautomation.com
,Wonderware System Platform,ot_ics_physical_security,Commercial,ot_security_engineer,scada_system,High,comprehensive_csv,https://docs.aveva.com
,GE iFIX,ot_ics_physical_security,Commercial,ot_security_engineer,scada_system,High,comprehensive_csv,https://docs.ge.com
,Siemens WinCC,ot_ics_physical_security,Commercial,ot_security_engineer,scada_system,High,comprehensive_csv,https://docs.siemens.com
,Schneider Electric Vijeo Citect,ot_ics_physical_security,Commercial,ot_security_engineer,scada_system,High,comprehensive_csv,https://docs.se.com
